"name","prostitutionStatus","pop2019"
"Afghanistan","Illegal","38041.7540"
"Albania","Illegal","2880.9170"
"Angola","Illegal","31825.2950"
"Antigua and Barbuda","Illegal","97.1180"
"Argentina","Legal","44780.6770"
"Armenia","Limitedly legal","2957.7310"
"Australia","Limitedly legal","25203.1980"
"Austria","Legal","8955.1020"
"Bahamas","Illegal","389.4820"
"Bangladesh","Legal","163046.1610"
"Barbados","Illegal","287.0250"
"Belgium","Legal","11539.3280"
"Belize","Legal","390.3530"
"Bolivia","Legal","11513.1000"
"Brazil","Legal","211049.5270"
"Bulgaria","Legal","7000.1190"
"Cambodia","Illegal","16486.5420"
"Canada","Limitedly legal","37411.0470"
"Chile","Legal","18952.0380"
"China","Illegal","1433783.6860"
"Colombia","Legal","50339.4430"
"Costa Rica","Legal","5047.5610"
"Croatia","Illegal","4130.3040"
"Cuba","Legal","11333.4830"
"Cyprus","Legal","1198.5750"
"Czech Republic","Legal","10689.2090"
"Denmark","Legal","5771.8760"
"Dominica","Illegal","71.8080"
"Dominican Republic","Legal","10738.9580"
"Ecuador","Legal","17373.6620"
"Egypt","Illegal","100388.0730"
"El Salvador","Legal","6453.5530"
"Estonia","Legal","1325.6480"
"Ethiopia","Legal","112078.7300"
"Finland","Legal","5532.1560"
"France","Limitedly legal","65129.7280"
"Germany","Legal","83517.0450"
"Greece","Legal","10473.4550"
"Grenada","Illegal","112.0030"
"Guatemala","Legal","17581.4720"
"Guyana","Illegal","782.7660"
"Haiti","Illegal","11263.0770"
"Honduras","Legal","9746.1170"
"Hungary","Legal","9684.6790"
"Iceland","Limitedly legal","339.0310"
"India","Legal","1366417.7540"
"Indonesia","Legal","270625.5680"
"Iran","Illegal","82913.9060"
"Iraq","Illegal","39309.7830"
"Ireland","Limitedly legal","4882.4950"
"Israel","Legal","8519.3770"
"Italy","Legal","60550.0750"
"Jamaica","Illegal","2948.2790"
"Japan","Limitedly legal","126860.3010"
"Jordan","Illegal","10101.6940"
"Kenya","Legal","52573.9730"
"Kyrgyzstan","Legal","6415.8500"
"Latvia","Legal","1906.7430"
"Liberia","Illegal","4937.3740"
"Lithuania","Illegal","2759.6270"
"Luxembourg","Legal","615.7290"
"Malaysia","Limitedly legal","31949.7770"
"Malta","Legal","440.3720"
"Mexico","Legal","127575.5290"
"Netherlands","Legal","17097.1300"
"New Zealand","Legal","4783.0630"
"Nicaragua","Legal","6545.5020"
"North Korea","Illegal","25666.1610"
"Norway","Limitedly legal","5378.8570"
"Panama","Legal","4246.4390"
"Paraguay","Legal","7044.6360"
"Peru","Legal","32510.4530"
"Philippines","Illegal","108116.6150"
"Poland","Legal","37887.7680"
"Portugal","Legal","10226.1870"
"Romania","Illegal","19364.5570"
"Rwanda","Illegal","12626.9500"
"Saint Kitts and Nevis","Illegal","52.8230"
"Saint Lucia","Illegal","182.7900"
"Saint Vincent and the Grenadines","Illegal","110.5890"
"Saudi Arabia","Illegal","34268.5280"
"Senegal","Legal","16296.3640"
"Singapore","Legal","5804.3370"
"Slovakia","Legal","5457.0130"
"Slovenia","Legal","2078.6540"
"South Africa","Illegal","58558.2700"
"South Korea","Illegal","51225.3080"
"Spain","Legal","46736.7760"
"Suriname","Illegal","581.3720"
"Sweden","Limitedly legal","10036.3790"
"Switzerland","Legal","8591.3650"
"Thailand","Illegal","69625.5820"
"Trinidad and Tobago","Illegal","1394.9730"
"Turkey","Legal","83429.6150"
"Uganda","Illegal","44269.5940"
"United Arab Emirates","Illegal","9770.5290"
"United Kingdom","Limitedly legal","67530.1720"
"United States","Limitedly legal","329064.9170"
"Uruguay","Legal","3461.7340"
"Venezuela","Legal","28515.8290"